Ticker,Date,High,Low,Open,Close,AdjRatio,Liquidity,Shares
VNM,2020-01-02,118200,116500,117000,117900,1.23498579797778,41583330000,1741377694
VNM,2020-01-03,119000,118200,118200,118300,1.23498579797778,73983637000,1741377694
VNM,2020-01-06,118200,116800,118000,117400,1.23498579797778,69960538400,1741377694
VNM,2020-01-07,118800,117500,117500,118500,1.23498579797778,54453120000,1741377694
VNM,2020-01-08,118800,117500,118500,118800,1.23498579797778,99519948000,1741377694
VNM,2020-01-09,119500,118400,119000,118600,1.23498579797778,166281944000,1741377694
VNM,2020-01-10,119200,118400,118600,118900,1.23498579797778,117177139000,1741377694
VNM,2020-01-13,119000,117400,119000,117400,1.23498579797778,72766868000,1741377694
VNM,2020-01-14,118100,117100,117400,117800,1.23498579797778,86604204000,1741377694
VNM,2020-01-15,117900,117200,117800,117800,1.23498579797778,93855972000,1741377694
VNM,2020-01-16,118500,117200,117800,118200,1.23498579797778,81154938000,1741377694
VNM,2020-01-17,118600,117800,118200,118600,1.23498579797778,70984472000,1741377694
VNM,2020-01-20,119200,118400,119000,119000,1.23498579797778,196047740000,1741377694
VNM,2020-01-21,121900,118600,119000,121000,1.23498579797778,212379200000,1741377694
VNM,2020-01-22,121900,121000,121000,121300,1.23498579797778,344705488000,1741377694
VNM,2020-01-30,119800,116200,119000,116600,1.23498579797778,289040906000,1741377694
VNM,2020-01-31,116600,108500,116400,108500,1.23498579797778,286794795000,1741377694
VNM,2020-02-03,110500,101000,101500,108300,1.23498579797778,284626479000,1741377694
VNM,2020-02-04,110000,104100,109900,105000,1.23498579797778,206749200000,1741377694
VNM,2020-02-05,107700,103300,106400,106600,1.23498579797778,217010950000,1741377694
VNM,2020-02-06,108600,105900,106000,107500,1.23498579797778,250244950000,1741377694
VNM,2020-02-07,110500,107600,107700,110200,1.23498579797778,298480006000,1741377694
VNM,2020-02-10,109400,107300,109000,109000,1.23498579797778,99245590000,1741377694
VNM,2020-02-11,109000,107000,109000,107200,1.23498579797778,133675184000,1741377694
VNM,2020-02-12,108000,107200,108000,107200,1.23498579797778,89851824000,1741377694
VNM,2020-02-13,107500,106600,107200,106900,1.23498579797778,76279564000,1741377694
VNM,2020-02-14,107400,106600,107200,106600,1.23498579797778,94289832000,1741377694
VNM,2020-02-17,107600,106800,106800,107500,1.23498579797778,115385125000,1741377694
VNM,2020-02-18,107800,105300,107800,105500,1.23498579797778,113781750000,1741377694
VNM,2020-02-19,106700,105000,105000,106400,1.23498579797778,84531608000,1741377694
VNM,2020-02-20,107500,106300,107000,106400,1.23498579797778,77099568000,1741377694
VNM,2020-02-21,109400,107500,107500,108500,1.23498579797778,161068250000,1741377694
VNM,2020-02-24,107800,106000,107000,106400,1.23498579797778,115979192000,1741377694
VNM,2020-02-25,108500,106000,106300,108000,1.23498579797778,198743760000,1741377694
VNM,2020-02-26,106700,105000,106700,105000,1.23498579797778,191343600000,1741377694
VNM,2020-02-27,107400,103800,105000,107400,1.23498579797778,220134558000,1741377694
VNM,2020-02-28,106100,103000,105300,104500,1.23498579797778,881763685000,1741377694
VNM,2020-03-02,105500,103800,104500,104500,1.23498579797778,182101700000,1741377694
VNM,2020-03-03,106200,104600,105500,105300,1.23498579797778,219002940000,1741377694
VNM,2020-03-04,106000,104500,105300,104800,1.23498579797778,120645760000,1741377694
